text-en,intent-en,text-fr,intent-fr
can you walk me through setting up direct deposits to my bank of internet savings account,direct_deposit,pouvez-vous me guider à travers la mise en place de dépôts directs à ma banque de compte d’épargne internet,dépôt_direct
i want to switch to direct deposit,direct_deposit,Je veux passer au dépôt direct,dépôt_direct
set up direct deposit for me,direct_deposit,mettre en place le dépôt direct pour moi,dépôt_direct
how do i go about setting up direct deposit,direct_deposit,comment puis-je procéder pour mettre en place le dépôt direct,dépôt_direct
i need to get my paycheck direct deposited to my chase account,direct_deposit,J’ai besoin d’obtenir mon chèque de paie déposé directement sur mon compte chase,dépôt_direct
what are the steps to set up direct deposit to my chase account,direct_deposit,quelles sont les étapes pour configurer le dépôt direct dans mon compte chase,dépôt_direct
"if i would like to set up direct deposit, how do i do it",direct_deposit,"si je souhaite mettre en place le dépôt direct, comment puis-je le faire",dépôt_direct
how do i direct deposit my check,direct_deposit,comment puis-je déposer mon chèque directement,dépôt_direct
what do i need to set up direct deposit,direct_deposit,de quoi ai-je besoin pour mettre en place le dépôt direct,dépôt_direct
i'd like to have my paycheck direct deposited to my chase account,direct_deposit,J’aimerais que mon chèque de paie soit déposé directement sur mon compte chase,dépôt_direct
how is a direct deposit set up,direct_deposit,comment un dépôt direct est-il mis en place?,dépôt_direct
"can you teach me how to set up direct deposit, or show me who can",direct_deposit,"pouvez-vous m’apprendre à mettre en place le dépôt direct, ou me montrer qui peut",dépôt_direct
how can i turn on direct deposit,direct_deposit,comment puis-je activer le dépôt direct,dépôt_direct
direct deposit information,direct_deposit,renseignements sur le dépôt direct,dépôt_direct
i want to set up direct deposit to my first hawaiian bank account,direct_deposit,Je veux mettre en place le dépôt direct sur mon premier compte bancaire hawaïen,dépôt_direct
can you tell me how to set up a direct deposit,direct_deposit,pouvez-vous me dire comment mettre en place un dépôt direct,dépôt_direct
i'd like to know about setting up direct deposit,direct_deposit,J’aimerais savoir comment mettre en place le dépôt direct,dépôt_direct
tell me how to set up direct deposit,direct_deposit,dites-moi comment configurer le dépôt direct,dépôt_direct
tell me how to set up direct deposit for my paycheck,direct_deposit,dites-moi comment configurer le dépôt direct pour mon chèque de paie,dépôt_direct
help setting up direct deposit,direct_deposit,aider à mettre en place le dépôt direct,dépôt_direct
please help me set up direct deposit,direct_deposit,s’il vous plaît aidez-moi à mettre en place le dépôt direct,dépôt_direct
how can i have my paycheck directly deposited,direct_deposit,comment puis-je avoir mon chèque de paie directement déposé,dépôt_direct
